Species,Taxa,Assessor,Ecoregion.Assessed,Presence.Absense,Category,Question,Question.No,O1,O2,O3,O4,O5,Modifier.Score
,,Assess.A,,,Ecological,1 sps Pred,1.1,,,,NA,NA,NA
,,Assess.A,,,Ecological,1 sps Comp,1.2,,,,NA,NA,NA
,,Assess.A,,,Ecological,Disease,1.3,,,,NA,NA,NA
,,Assess.A,,,Ecological,Climate,1.4,NA,NA,NA,NA,NA,
,,Assess.A,,,Ecological,>1 sps Comp,2.1,,,,NA,NA,NA
,,Assess.A,,,Ecological,>1 sps Pred,2.2,,,,NA,NA,NA
,,Assess.A,,,Ecological,Trophic Casc,2.3,,,,NA,NA,NA
,,Assess.A,,,Ecological,Climate,2.4,NA,NA,NA,NA,NA,
,,Assess.A,,,Ecological,Nutrients,3.1,,,,NA,NA,NA
,,Assess.A,,,Ecological,Abiotic,3.2,,,,NA,NA,NA
,,Assess.A,,,Ecological,Biogenic,3.3,,,,NA,NA,NA
,,Assess.A,,,Ecological,Climate,3.4,NA,NA,NA,NA,NA,
,,Assess.A,,,Ecological,Cons sps,4.1,,,,NA,NA,NA
,,Assess.A,,,Ecological,Cons areas,4.2,,,,NA,NA,NA
,,Assess.A,,,Ecological,Climate,4.3,NA,NA,NA,NA,NA,
,,Assess.A,,,Invasion,Entrainment,1.1,,,,,,NA
,,Assess.A,,,Invasion,Vectors,1.2,NA,NA,NA,NA,NA,
,,Assess.A,,,Invasion,Climate,1.3,NA,NA,NA,NA,NA,
,,Assess.A,,,Invasion,D range,2.1,,,,,,NA
,,Assess.A,,,Invasion,Climate,2.2,NA,NA,NA,NA,NA,
,,Assess.A,,,Invasion,Environ %,3.1,,,,,,NA
,,Assess.A,,,Invasion,Habitat %,3.2,,,,,,NA
,,Assess.A,,,Invasion,Climate,3.3,NA,NA,NA,NA,NA,
,,Assess.A,,,Invasion,Offspring,4.1,,,,,,NA
,,Assess.A,,,Invasion,D rate,4.2,NA,NA,NA,NA,NA,
,,Assess.A,,,Invasion,Climate,4.3,NA,NA,NA,NA,NA,
,,Assess.A,,,Socio-Econ,$ Industry,1.1,,,,NA,NA,NA
